Designator	Part	Midx	Midy	Refx	Refy	Padx	Pady	TB	Rotation
UBM	QFN 5x9	2.618	2.126	2.618	2.126	2.713	1.992	Top	180.0
Lr01c15	PLCC-6	4.043	0.748	4.043	0.748	3.976	0.787	Top	0.0
CRRIN	0805	3.705	1.850	3.705	1.850	3.705	1.813	Bottom	180.0
CO1	0805	2.413	0.295	2.413	0.295	2.413	0.332	Top	0.0
URM	QFN 5x9	2.146	2.126	2.146	2.126	2.240	1.992	Top	180.0
RRMRT	0603	1.988	1.852	1.988	1.852	1.988	1.882	Top	0.0
Lr02c03	PLCC-6	0.972	0.965	0.972	0.965	0.906	1.004	Top	0.0
Lr04c07	PLCC-6	1.996	1.398	1.996	1.398	1.929	1.437	Top	0.0
RBMRT	0603	2.477	1.847	2.477	1.847	2.507	1.847	Bottom	-90.0
RBMSET	0603	2.768	1.852	2.768	1.852	2.768	1.882	Top	0.0
LBM	Ind	2.661	2.268	2.661	2.268	2.661	2.150	Bottom	180.0
RBMTS	0603	2.712	1.873	2.712	1.873	2.712	1.902	Top	0.0
CBRG	0603	4.053	1.827	4.053	1.827	4.083	1.827	Top	-90.0
Lr04c09	PLCC-6	2.508	1.398	2.508	1.398	2.441	1.437	Top	0.0
Lr04c15	PLCC-6	4.043	1.398	4.043	1.398	3.976	1.437	Top	0.0
RBRTS	0603	4.129	1.873	4.129	1.873	4.129	1.902	Top	0.0
Lr00c03	PLCC-6	0.972	0.531	0.972	0.531	0.906	0.571	Top	0.0
Lr04c11	PLCC-6	3.020	1.398	3.020	1.398	2.953	1.437	Top	0.0
Lr00c05	PLCC-6	1.484	0.531	1.484	0.531	1.417	0.571	Top	0.0
Lr01c14	PLCC-6	3.787	0.748	3.787	0.748	3.720	0.787	Top	0.0
Lr04c00	PLCC-6	0.224	1.398	0.224	1.398	0.157	1.437	Top	0.0
CSS2	0603	2.265	0.080	2.265	0.080	2.236	0.080	Top	90.0
RRMTS	0603	2.248	1.852	2.248	1.852	2.248	1.882	Top	0.0
Lr03c08	PLCC-6	2.252	1.181	2.252	1.181	2.185	1.220	Top	0.0
DRM	PowerDi	2.287	1.981	2.287	2.028	2.287	2.028	Bottom	-90.0
CGM	Cap2917	1.500	2.057	1.500	2.057	1.500	2.057	Bottom	90.0
RGLTS	0603	0.350	1.852	0.350	1.852	0.350	1.882	Top	0.0
Lr00c06	PLCC-6	1.740	0.531	1.740	0.531	1.673	0.571	Top	0.0
RRTPU	0402a	3.593	0.249	3.593	0.249	3.593	0.232	Top	0.0
LBR	Ind	4.079	2.268	4.079	2.268	4.079	2.150	Bottom	180.0
Lr04c13	PLCC-6	3.531	1.398	3.531	1.398	3.465	1.437	Top	0.0
Lr04c04	PLCC-6	1.228	1.398	1.228	1.398	1.161	1.437	Top	0.0
RRRSET	0603	3.720	1.852	3.720	1.852	3.720	1.882	Top	0.0
RRMSET	0603	2.303	1.852	2.303	1.852	2.303	1.882	Top	0.0
Lr05c03	PLCC-6	0.972	1.614	0.972	1.614	0.906	1.654	Top	0.0
Lr00c13	PLCC-6	3.531	0.531	3.531	0.531	3.465	0.571	Top	0.0
RCS6	0402a	3.780	0.361	3.780	0.361	3.780	0.344	Top	0.0
RRLSET	0603	0.886	1.852	0.886	1.852	0.886	1.882	Top	0.0
RRRFG	0603	3.461	1.852	3.461	1.852	3.461	1.882	Top	0.0
Lr04c12	PLCC-6	3.276	1.398	3.276	1.398	3.209	1.437	Top	0.0
RRLISP	0805	0.555	2.343	0.555	2.343	0.555	2.380	Bottom	0.0
LRL	Ind	0.772	2.264	0.772	2.264	0.772	2.146	Bottom	180.0
RRRFF	0603	3.516	1.852	3.516	1.852	3.516	1.823	Top	180.0
RGRTS	0603	3.185	1.852	3.185	1.852	3.185	1.882	Top	0.0
LGR	Ind	3.134	2.268	3.134	2.268	3.134	2.150	Bottom	180.0
RGLRT	0603	0.075	1.852	0.075	1.852	0.075	1.882	Top	0.0
CIIMON	0402a	1.496	0.190	1.496	0.190	1.496	0.207	Top	180.0
Lr05c15	PLCC-6	4.043	1.614	4.043	1.614	3.976	1.654	Top	0.0
CRRG	0603	3.589	1.827	3.589	1.827	3.618	1.827	Top	-90.0
Lr02c11	PLCC-6	3.020	0.965	3.020	0.965	2.953	1.004	Top	0.0
Lr04c05	PLCC-6	1.484	1.398	1.484	1.398	1.417	1.437	Top	0.0
RGRRT	0603	2.909	1.852	2.909	1.852	2.909	1.882	Top	0.0
RRRTS	0603	3.665	1.852	3.665	1.852	3.665	1.882	Top	0.0
Lr01c09	PLCC-6	2.508	0.748	2.508	0.748	2.441	0.787	Top	0.0
LRR	Ind	3.606	2.264	3.606	2.264	3.606	2.146	Bottom	180.0
CRR	Cap2917	3.390	2.053	3.390	2.053	3.390	2.053	Bottom	90.0
DRR	PowerDi	3.705	1.981	3.705	2.028	3.705	2.028	Bottom	-90.0
RBRFG	0603	3.925	1.852	3.925	1.852	3.925	1.882	Top	0.0
CRRCC	0805	3.701	2.419	3.701	2.419	3.701	2.382	Top	180.0
RBRFF	0603	3.980	1.852	3.980	1.852	3.980	1.823	Top	180.0
MRR	SO8	3.562	1.921	3.637	1.811	3.637	1.811	Bottom	0.0
U5	DHVQFN16	3.709	0.236	3.709	0.236	3.719	0.175	Top	180.0
RRTCLK	0402a	3.661	0.397	3.661	0.397	3.661	0.413	Top	180.0
CBMIN	0805	2.760	1.854	2.760	1.854	2.760	1.817	Bottom	180.0
CO2	0805	2.413	0.181	2.413	0.181	2.413	0.143	Top	-180.0
R86FBF	0402a	0.475	0.207	0.475	0.207	0.459	0.207	Top	-90.0
RBRISP	0805	3.862	2.346	3.862	2.346	3.862	2.384	Bottom	0.0
Lr00c00	PLCC-6	0.224	0.531	0.224	0.531	0.157	0.571	Top	0.0
CBIAS	0603	1.358	0.384	1.358	0.384	1.329	0.384	Top	90.0
RBRRT	0603	3.895	1.847	3.895	1.847	3.924	1.847	Bottom	-90.0
CGLCC	0805	0.265	2.407	0.265	2.407	0.265	2.369	Top	180.0
Lr03c13	PLCC-6	3.531	1.181	3.531	1.181	3.465	1.220	Top	0.0
CBU5	0603	3.671	0.128	3.671	0.128	3.701	0.128	Top	-90.0
Lr00c14	PLCC-6	3.787	0.531	3.787	0.531	3.720	0.571	Top	0.0
CRL	Cap2917	0.555	2.053	0.555	2.053	0.555	2.053	Bottom	90.0
CBL	Cap2917	1.028	2.057	1.028	2.057	1.028	2.057	Bottom	90.0
Lr05c10_1	PLCC-6	2.764	1.181	2.764	1.181	2.697	1.220	Top	0.0
Lr02c00	PLCC-6	0.224	0.965	0.224	0.965	0.157	1.004	Top	0.0
Lr05c04	PLCC-6	1.228	1.614	1.228	1.614	1.161	1.654	Top	0.0
RCC	0402a	1.319	0.082	1.319	0.082	1.319	0.098	Top	180.0
DGL	PowerDi	0.398	1.985	0.398	2.031	0.398	2.031	Bottom	-90.0
Lr02c01	PLCC-6	0.480	0.965	0.480	0.965	0.413	1.004	Top	0.0
Lr01c00	PLCC-6	0.224	0.748	0.224	0.748	0.157	0.787	Top	0.0
CBLSS	0603	0.959	1.857	0.959	1.857	0.989	1.857	Bottom	-90.0
RSM	0402a	0.600	0.190	0.600	0.190	0.600	0.173	Top	0.0
RGLFG	0603	0.130	1.852	0.130	1.852	0.130	1.882	Top	0.0
CRM	Cap2917	1.972	2.053	1.972	2.053	1.972	2.053	Bottom	90.0
RBMISP	0805	2.445	2.346	2.445	2.346	2.445	2.384	Bottom	0.0
RGRISP	0805	2.894	2.343	2.894	2.343	2.894	2.381	Bottom	0.0
CRMSS	0603	1.990	1.858	1.990	1.858	2.020	1.858	Bottom	-90.0
CCC	0402a	1.348	0.082	1.348	0.082	1.348	0.065	Top	0.0
Lr01c13	PLCC-6	3.531	0.748	3.531	0.748	3.465	0.787	Top	0.0
Lr02c15	PLCC-6	4.043	0.965	4.043	0.965	3.976	1.004	Top	0.0
UXL	LGA14 (5x3)	4.022	0.220	4.022	0.220	3.978	0.299	Top	0.0
Lr02c10	PLCC-6	2.764	0.965	2.764	0.965	2.697	1.004	Top	0.0
CBGATE	0402a	1.220	0.292	1.220	0.292	1.220	0.276	Top	0.0
RSP	0402a	0.561	0.190	0.561	0.190	0.561	0.173	Top	0.0
CIBMON	0402a	1.526	0.190	1.526	0.190	1.526	0.207	Top	180.0
CBMSS	0603	2.377	1.857	2.377	1.857	2.406	1.857	Bottom	-90.0
Lr02c02	PLCC-6	0.736	0.965	0.736	0.965	0.669	1.004	Top	0.0
Lr00c04	PLCC-6	1.228	0.531	1.228	0.531	1.161	0.571	Top	0.0
Lr01c05	PLCC-6	1.484	0.748	1.484	0.748	1.417	0.787	Top	0.0
Lr00c10	PLCC-6	2.760	0.531	2.760	0.531	2.693	0.571	Top	0.0
Lr02c06	PLCC-6	1.740	0.965	1.740	0.965	1.673	1.004	Top	0.0
CBU4S	0603	3.907	0.167	3.907	0.167	3.907	0.138	Top	-180.0
CBU4D	0603	3.907	0.266	3.907	0.266	3.907	0.295	Top	0.0
Lr03c12	PLCC-6	3.276	1.181	3.276	1.181	3.209	1.220	Top	0.0
Lr01c06	PLCC-6	1.740	0.748	1.740	0.748	1.673	0.787	Top	0.0
Lr02c12	PLCC-6	3.276	0.965	3.276	0.965	3.209	1.004	Top	0.0
Lr04c10	PLCC-6	2.764	1.398	2.764	1.398	2.697	1.437	Top	0.0
RRLTS	0603	0.831	1.852	0.831	1.852	0.831	1.882	Top	0.0
Lr05c14	PLCC-6	3.787	1.614	3.787	1.614	3.720	1.654	Top	0.0
Lr02c09	PLCC-6	2.508	0.965	2.508	0.965	2.441	1.004	Top	0.0
CRRSS	0603	3.407	1.858	3.407	1.858	3.437	1.858	Bottom	-90.0
Lr01c02	PLCC-6	0.736	0.748	0.736	0.748	0.669	0.787	Top	0.0
Lr05c06	PLCC-6	1.740	1.614	1.740	1.614	1.673	1.654	Top	0.0
CRLSS	0603	0.573	1.858	0.573	1.858	0.602	1.858	Bottom	-90.0
Lr03c15	PLCC-6	4.043	1.181	4.043	1.181	3.976	1.220	Top	0.0
CGRSS	0603	2.935	1.862	2.935	1.862	2.965	1.862	Bottom	-90.0
CRLIN	0805	0.870	1.850	0.870	1.850	0.870	1.813	Bottom	180.0
URR	QFN 5x9	3.563	2.126	3.563	2.126	3.657	1.992	Top	180.0
RGMRT	0603	1.492	1.852	1.492	1.852	1.492	1.882	Top	0.0
RGMTS	0603	1.768	1.852	1.768	1.852	1.768	1.882	Top	0.0
LGM	Ind	1.717	2.268	1.717	2.268	1.717	2.150	Bottom	180.0
CBMCC	0805	2.627	2.402	2.627	2.402	2.627	2.364	Top	180.0
DRL	PowerDi	0.870	1.981	0.870	2.028	0.870	2.028	Bottom	-90.0
Lr03c06	PLCC-6	1.740	1.181	1.740	1.181	1.673	1.220	Top	0.0
CGMSS	0603	1.518	1.862	1.518	1.862	1.547	1.862	Bottom	-90.0
CBR	Cap2917	3.862	2.057	3.862	2.057	3.862	2.057	Bottom	90.0
Lr01c04	PLCC-6	1.228	0.748	1.228	0.748	1.161	0.787	Top	0.0
RGMISP	0805	1.477	2.343	1.477	2.343	1.477	2.381	Bottom	0.0
CI1	0805	2.139	0.317	2.139	0.317	2.177	0.317	Bottom	-90.0
CBRCC	0805	4.044	2.402	4.044	2.402	4.044	2.364	Top	180.0
RRLFF	0603	0.681	1.852	0.681	1.852	0.681	1.823	Top	180.0
CGMCC	0805	1.682	2.407	1.682	2.407	1.682	2.369	Top	180.0
Lr03c09	PLCC-6	2.508	1.181	2.508	1.181	2.441	1.220	Top	0.0
Lr03c05	PLCC-6	1.484	1.181	1.484	1.181	1.417	1.220	Top	0.0
Lr05c07	PLCC-6	1.996	1.614	1.996	1.614	1.929	1.654	Top	0.0
RRMFG	0603	2.043	1.852	2.043	1.852	2.043	1.882	Top	0.0
Lr05c09	PLCC-6	2.508	1.614	2.508	1.614	2.441	1.654	Top	0.0
Lr01c03	PLCC-6	0.972	0.748	0.972	0.748	0.906	0.787	Top	0.0
CGRIN	0805	3.232	1.854	3.232	1.854	3.232	1.817	Bottom	180.0
CRMG	0603	2.171	1.827	2.171	1.827	2.201	1.827	Top	-90.0
LBL	Ind	1.244	2.268	1.244	2.268	1.244	2.150	Bottom	180.0
RBLRT	0603	1.060	1.847	1.060	1.847	1.090	1.847	Bottom	-90.0
DBM	PowerDi	2.760	1.985	2.760	2.031	2.760	2.031	Bottom	-90.0
U3	BGA25-6.25x6.25	2.236	0.238	2.236	0.238	2.236	0.238	Top	180.0
RGMFG	0603	1.547	1.852	1.547	1.852	1.547	1.882	Top	0.0
RGMFF	0603	1.602	1.852	1.602	1.852	1.602	1.823	Top	180.0
MGM	SO8	1.672	1.925	1.747	1.815	1.747	1.815	Bottom	0.0
CBM	Cap2917	2.445	2.057	2.445	2.057	2.445	2.057	Bottom	90.0
RGLFF	0603	0.185	1.852	0.185	1.852	0.185	1.823	Top	180.0
MBM	SO8	2.617	1.925	2.692	1.815	2.692	1.815	Bottom	0.0
CSS86	0603	0.659	0.344	0.659	0.344	0.630	0.344	Top	90.0
CBOUT3	0805	0.740	0.285	0.740	0.285	0.778	0.285	Top	-90.0
Lr00c02	PLCC-6	0.736	0.531	0.736	0.531	0.669	0.571	Top	0.0
Lr04c08	PLCC-6	2.252	1.398	2.252	1.398	2.185	1.437	Top	0.0
Lr01c08	PLCC-6	2.252	0.748	2.252	0.748	2.185	0.787	Top	0.0
UBR	QFN 5x9	4.035	2.126	4.035	2.126	4.130	1.992	Top	180.0
CBRIN	0805	4.177	1.854	4.177	1.854	4.177	1.817	Bottom	180.0
CGLG	0603	0.274	1.827	0.274	1.827	0.303	1.827	Top	-90.0
RRMISP	0805	1.972	2.343	1.972	2.343	1.972	2.380	Bottom	0.0
CBRSS	0603	3.794	1.857	3.794	1.857	3.823	1.857	Bottom	-90.0
RBRSET	0603	4.185	1.852	4.185	1.852	4.185	1.882	Top	0.0
Lr01c10	PLCC-6	2.760	0.748	2.760	0.748	2.693	0.787	Top	0.0
RRLFG	0603	0.626	1.852	0.626	1.852	0.626	1.882	Top	0.0
DGM	PowerDi	1.815	1.985	1.815	2.031	1.815	2.031	Bottom	-90.0
Lr01c07	PLCC-6	1.996	0.748	1.996	0.748	1.929	0.787	Top	0.0
UGM	QFN 5x9	1.673	2.126	1.673	2.126	1.768	1.992	Top	180.0
DBL	PowerDi	1.343	1.985	1.343	2.031	1.343	2.031	Bottom	-90.0
RGDIS	0402a	1.230	0.190	1.230	0.190	1.230	0.207	Top	180.0
Lr03c14	PLCC-6	3.787	1.181	3.787	1.181	3.720	1.220	Top	0.0
Lr04c06	PLCC-6	1.740	1.398	1.740	1.398	1.673	1.437	Top	0.0
DGR	PowerDi	3.232	1.985	3.232	2.031	3.232	2.031	Bottom	-90.0
Lr02c08	PLCC-6	2.252	0.965	2.252	0.965	2.185	1.004	Top	0.0
RFREQ	0603	2.196	0.238	2.196	0.238	2.226	0.238	Bottom	-90.0
Lr03c03	PLCC-6	0.972	1.181	0.972	1.181	0.906	1.220	Top	0.0
LRM	Ind	2.189	2.264	2.189	2.264	2.189	2.146	Bottom	180.0
Lr03c01	PLCC-6	0.480	1.181	0.480	1.181	0.413	1.220	Top	0.0
Lr04c01	PLCC-6	0.480	1.398	0.480	1.398	0.413	1.437	Top	0.0
CGRG	0603	3.108	1.827	3.108	1.827	3.138	1.827	Top	-90.0
CBSW	0603	0.423	0.276	0.423	0.276	0.423	0.305	Top	0.0
MGR	SO8	3.089	1.925	3.164	1.815	3.164	1.815	Bottom	0.0
Lr03c11	PLCC-6	3.020	1.181	3.020	1.181	2.953	1.220	Top	0.0
CBLCC	0805	1.210	2.402	1.210	2.402	1.210	2.364	Top	180.0
CSS1	0603	2.265	0.395	2.265	0.395	2.236	0.395	Top	90.0
RGRSET	0603	3.299	1.957	3.299	1.957	3.299	1.987	Bottom	0.0
CGMIN	0805	1.815	1.854	1.815	1.854	1.815	1.817	Bottom	180.0
RBFB	0402a	1.220	0.302	1.220	0.302	1.220	0.285	Bottom	0.0
CGR	Cap2917	2.917	2.057	2.917	2.057	2.917	2.057	Bottom	90.0
RVMH	0402a	1.545	0.056	1.545	0.056	1.545	0.039	Top	0.0
RVML	0402a	1.545	0.121	1.545	0.121	1.545	0.104	Top	0.0
RBATIS	0805	1.171	0.219	1.171	0.219	1.171	0.181	Top	180.0
ROFB	0402a	1.181	0.200	1.181	0.200	1.181	0.183	Bottom	0.0
RFBGO	0402a	1.220	0.233	1.220	0.233	1.220	0.217	Bottom	0.0
MGL	SO8	0.255	1.925	0.330	1.815	0.330	1.815	Bottom	0.0
RFBGB	0402a	1.181	0.269	1.181	0.269	1.181	0.252	Bottom	0.0
Lr00c12	PLCC-6	3.276	0.531	3.276	0.531	3.209	0.571	Top	0.0
RRRRT	0603	3.406	1.852	3.406	1.852	3.406	1.882	Top	0.0
Lr05c08	PLCC-6	2.252	1.614	2.252	1.614	2.185	1.654	Top	0.0
Lr02c05	PLCC-6	1.484	0.965	1.484	0.965	1.417	1.004	Top	0.0
Lr00c07	PLCC-6	1.996	0.531	1.996	0.531	1.929	0.571	Top	0.0
Lr03c00	PLCC-6	0.224	1.181	0.224	1.181	0.157	1.220	Top	0.0
RRMFF	0603	2.098	1.852	2.098	1.852	2.098	1.823	Top	180.0
Lr02c14	PLCC-6	3.787	0.965	3.787	0.965	3.720	1.004	Top	0.0
Lr02c07	PLCC-6	1.996	0.965	1.996	0.965	1.929	1.004	Top	0.0
Lr00c15	PLCC-6	4.043	0.531	4.043	0.531	3.976	0.571	Top	0.0
CVCC	0603	0.659	0.394	0.659	0.394	0.630	0.394	Top	90.0
RBLISP	0805	1.028	2.346	1.028	2.346	1.028	2.384	Bottom	0.0
Lr04c02	PLCC-6	0.736	1.398	0.736	1.398	0.669	1.437	Top	0.0
RGRFG	0603	2.965	1.852	2.965	1.852	2.965	1.882	Top	0.0
RGRFF	0603	3.020	1.852	3.020	1.852	3.020	1.823	Top	180.0
DBR	PowerDi	4.177	1.985	4.177	2.031	4.177	2.031	Bottom	-90.0
Lr04c14	PLCC-6	3.787	1.398	3.787	1.398	3.720	1.437	Top	0.0
DB1	BAS140	0.364	0.325	0.364	0.325	0.364	0.325	Top	0.0
Lr05c11	PLCC-6	3.020	1.614	3.020	1.614	2.953	1.654	Top	0.0
RBLTS	0603	1.295	1.873	1.295	1.873	1.295	1.902	Top	0.0
Lr01c11	PLCC-6	3.020	0.748	3.020	0.748	2.953	0.787	Top	0.0
RGMSET	0603	1.882	1.957	1.882	1.957	1.882	1.987	Bottom	0.0
MRM	SO8	2.144	1.921	2.219	1.811	2.219	1.811	Bottom	0.0
Lr05c05	PLCC-6	1.484	1.614	1.484	1.614	1.417	1.654	Top	0.0
Lr00c08	PLCC-6	2.252	0.531	2.252	0.531	2.185	0.571	Top	0.0
Lr00c01	PLCC-6	0.480	0.531	0.480	0.531	0.413	0.571	Top	0.0
Lr03c02	PLCC-6	0.736	1.181	0.736	1.181	0.669	1.220	Top	0.0
Lr05c12	PLCC-6	3.276	1.614	3.276	1.614	3.209	1.654	Top	0.0
RBMFF	0603	2.563	1.852	2.563	1.852	2.563	1.823	Top	180.0
MBL	SO8	1.199	1.925	1.274	1.815	1.274	1.815	Bottom	0.0
CGLIN	0805	0.398	1.854	0.398	1.854	0.398	1.817	Bottom	180.0
RBMFG	0603	2.508	1.852	2.508	1.852	2.508	1.882	Top	0.0
RSENSE	0805	0.591	-0.020	0.591	-0.020	0.553	-0.020	Bottom	90.0
CBOUT1	0805	0.730	0.157	0.730	0.157	0.768	0.157	Bottom	-90.0
CBOUT2	0805	0.740	0.207	0.740	0.207	0.778	0.207	Top	-90.0
LBOOST	Ind	0.965	0.217	0.965	0.217	0.965	0.098	Bottom	180.0
CBLG	0603	1.219	1.827	1.219	1.827	1.248	1.827	Top	-90.0
CGMG	0603	1.691	1.827	1.691	1.827	1.720	1.827	Top	-90.0
Lr05c13	PLCC-6	3.531	1.614	3.531	1.614	3.465	1.654	Top	0.0
CRLCC	0805	0.740	2.402	0.740	2.402	0.740	2.364	Top	180.0
CGL	Cap2917	0.083	2.057	0.083	2.057	0.083	2.057	Bottom	90.0
Lr00c11	PLCC-6	3.020	0.531	3.020	0.531	2.953	0.571	Top	0.0
Lr02c13	PLCC-6	3.531	0.965	3.531	0.965	3.465	1.004	Top	0.0
CIB	0603	1.427	0.079	1.427	0.079	1.398	0.079	Top	90.0
RGLISP	0805	0.060	2.343	0.060	2.343	0.060	2.381	Bottom	0.0
CI2	0805	2.139	0.159	2.139	0.159	2.177	0.159	Bottom	-90.0
RCL	0402a	1.476	0.322	1.476	0.322	1.476	0.305	Top	0.0
Lr01c12	PLCC-6	3.276	0.748	3.276	0.748	3.209	0.787	Top	0.0
RGLSET	0603	0.465	1.957	0.465	1.957	0.465	1.987	Bottom	0.0
RFB2	0402a	2.168	0.079	2.168	0.079	2.185	0.079	Top	90.0
U1	UFD28 (4x5QFN)	1.358	0.236	1.358	0.236	1.437	0.167	Top	90.0
Lr03c07	PLCC-6	1.996	1.181	1.996	1.181	1.929	1.220	Top	0.0
MP1	SO8	0.984	0.247	1.094	0.172	1.094	0.172	Top	90.0
Lr00c09	PLCC-6	2.508	0.531	2.508	0.531	2.441	0.571	Top	0.0
RCX	0402a	1.506	0.322	1.506	0.322	1.506	0.305	Top	0.0
U2	UD16 (3x3QFN)	0.531	0.325	0.531	0.325	0.502	0.270	Top	90.0
CCX	0603	1.545	0.335	1.545	0.335	1.545	0.305	Top	180.0
Lr01c01	PLCC-6	0.480	0.748	0.480	0.748	0.413	0.787	Top	0.0
X1	XTAL_2520	0.438	2.469	0.438	2.469	0.472	2.441	Top	180.0
CBLIN	0805	1.343	1.854	1.343	1.854	1.343	1.817	Bottom	180.0
CRLG	0603	0.754	1.827	0.754	1.827	0.783	1.827	Top	-90.0
CRMIN	0805	2.287	1.850	2.287	1.850	2.287	1.813	Bottom	180.0
URL	QFN 5x9	0.728	2.126	0.728	2.126	0.823	1.992	Top	180.0
RIN	0805	0.394	0.098	0.394	0.098	0.356	0.098	Bottom	90.0
RRLRT	0603	0.571	1.852	0.571	1.852	0.571	1.882	Top	0.0
UGR	QFN 5x9	3.091	2.126	3.091	2.126	3.185	1.992	Top	180.0
